trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1055,False,"{'a': 0.5, 'e': 0.12148068500391276}",20,12,13.08059611396828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.5, 'e': 0.12123796643338168}",20,0,22.68133243374125,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1057,False,"{'a': 0.5, 'e': 0.12099573281487792}",25,17,-5.846869372322918,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1058,False,"{'a': 0.5, 'e': 0.12075398317946681}",35,6,-59.5285543162228,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 2}",1
1059,False,"{'a': 0.5, 'e': 0.12051271656014938}",30,20,-20.601688649171162,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1060,False,"{'a': 0.5, 'e': 0.12027193199185891}",20,4,-12.310774782439452,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
1061,False,"{'a': 0.5, 'e': 0.12003162851145673}",25,0,-15.398362114652372,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1062,False,"{'a': 0.5, 'e': 0.11979180515772868}",25,18,1.3173446497136925,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1063,False,"{'a': 0.5, 'e': 0.11955246097138093}",25,3,29.19959541178325,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1064,False,"{'a': 0.5, 'e': 0.11931359499503652}",20,11,16.94851567372042,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.5, 'e': 0.11907520627323114}",20,0,27.631828513169925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1066,False,"{'a': 0.5, 'e': 0.11883729385240965}",20,8,10.82263282337517,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1067,False,"{'a': 0.5, 'e': 0.11859985678092198}",30,8,41.28694767600003,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.5, 'e': 0.11836289410901962}",20,13,12.626741849732017,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.5, 'e': 0.11812640488885146}",20,7,21.214999146531092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1070,False,"{'a': 0.5, 'e': 0.1178903881744604}",35,16,24.1171401121016,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1071,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,13,18.323943408495715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1072,False,"{'a': 0.5, 'e': 0.11741976848862698}",20,2,31.199980618522375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1073,False,"{'a': 0.5, 'e': 0.11718516363470523}",30,9,28.799541073803862,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
